RENGLON,A�O,ENTIDAD,CVE_GEO,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_A�O,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_A�O,NAC,POB_MIT_A�O,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
73,2022,Rep�blica Mexicana,0,1310667.503,-181439,1129228.503,806107.4967,29,1376762,320758,72.62,78.38,75.49,63692767,32.23,1376762,139319,0,-181439,66425589,2116775,130118356,3262263,3272477,5446970,16140954,34922196,7539755,5365262,3178529,28466805,6479191,5782187,3380367,3385384,5623888,16420759,33614558,7694840,5456336,3296453,25901017,6718177,4745111,6642630,6657861,11070858,32561713,68536754,15234595,10821598,6474982,54367822,13197368,10527298,12.11,37.57,49.68,6.2,16.27,1.01,-0.14,0.87,1.06,1.06,0,-0.14,13.36,10.85,12.13,66.92,2.01
74,2023,Rep�blica Mexicana,0,1278360.506,-183229,1095131.506,821448.4936,29.55,1365684,323424,72.76,78.52,75.63,64228297,33.66,1365684,140195,0,-183229,67001958,2099809,131230255,3253415,3263885,5439278,16123378,35088462,7543002,5367609,3153786,28913597,6454798,6011402,3372136,3375793,5617330,16412749,33842429,7703234,5461697,3270912,26344739,6693773,4928167,6625551,6639678,11056608,32536127,68930891,15246236,10829306,6424698,55258336,13148571,10939569,12.46,37.01,49.47,6.26,16,0.97,-0.14,0.83,1.04,1.04,0,-0.14,12.98,10.54,11.79,66.21,1.99
75,2024,Rep�blica Mexicana,0,1246167.499,-184869,1061298.499,836842.5012,30,1354344,325716,72.9,78.67,75.78,64746182,35.18,1354344,140847,0,-184869,67562094,2083010,132308276,3245643,3255415,5427157,16101531,35238871,7543823,5372081,3129346,29342218,6424185,6251430,3364542,3366850,5605464,16398664,34061013,7710348,5471734,3245480,26774350,6662908,5119225,6610185,6622265,11032621,32500195,69299884,15254171,10843815,6374826,56116568,13087093,11370655,12.83,36.47,49.3,6.32,15.74,0.94,-0.14,0.8,1.02,1.02,0,-0.14,12.6,10.22,11.44,65.53,1.97
76,2025,Rep�blica Mexicana,0,1213735.001,-186239,1027496.001,852588.9995,30,1342632,327601,73.05,78.82,75.93,65246678,36.78,1342632,141362,0,-186239,68105709,2066324,133352387,3239242,3246832,5412453,16078249,35375753,7540865,5375244,3105176,29750328,6387341,6501323,3357607,3358585,5590608,16382307,34272923,7713998,5481975,3220212,27186639,6626061,5317298,6596849,6605417,11003061,32460556,69648676,15254863,10857219,6325388,56936967,13013402,11818621,13.22,35.95,49.17,6.39,15.5,0.91,-0.14,0.77,1.01,1.01,0,-0.14,12.21,9.9,11.08,64.89,1.96
77,2026,Rep�blica Mexicana,0,1181200.501,-187228,993972.5014,868566.4986,30.68,1330604,329038,73.19,78.98,76.08,65730205,38.45,1330604,141810,0,-187228,68632729,2049767,134362934,3232805,3238103,5398341,16057035,35503320,7534706,5374468,3081257,30136026,6345093,6760016,3350560,3350484,5576164,16367027,34481889,7713153,5487473,3195273,27579856,6583613,5521417,6583365,6588587,10974505,32424062,69985209,15247859,10861941,6276530,57715882,12928706,12281433,13.62,35.44,49.06,6.46,15.26,0.88,-0.14,0.74,0.99,0.99,0,-0.14,11.83,9.58,10.73,64.29,1.94
78,2027,Rep�blica Mexicana,0,1148507.497,-187941,960566.4971,884883.5029,31,1318324,330222,73.34,79.14,76.23,66196891,40.2,1318324,142281,0,-187941,69143082,2033391,135339973,3223918,3230447,5385349,16038717,35624178,7525194,5370292,3057508,30499944,6299324,7026515,3341530,3342851,5563189,16353396,34689364,7707222,5486884,3170784,27954949,6536943,5730577,6565448,6573298,10948538,32392113,70313542,15232416,10857176,6228292,58454893,12836267,12757092,14.04,34.93,48.98,6.54,15.02,0.85,-0.14,0.71,0.97,0.97,0,-0.14,11.45,9.27,10.38,63.72,1.92
79,2028,Rep�blica Mexicana,0,1115718.998,-188580,927138.9982,901518.0018,31.08,1305740,331362,73.49,79.29,76.39,66646894,42.02,1305740,142782,0,-188580,69636698,2017237,136283592,3210916,3224151,5372946,16021596,35737577,7511762,5362967,3033913,30844558,6251638,7299985,3329167,3335785,5550465,16340144,34892738,7695274,5480594,3146789,28313591,6487906,5944008,6540083,6559936,10923411,32361740,70630315,15207036,10843561,6180702,59158149,12739544,13243993,14.47,34.44,48.91,6.62,14.8,0.82,-0.14,0.68,0.96,0.96,0,-0.14,11.07,8.96,10.04,63.19,1.91
80,2029,Rep�blica Mexicana,0,1082818.998,-189268,893550.998,918528.002,31.77,1292846,332604,73.64,79.45,76.54,67080212,43.91,1292846,143336,0,-189268,70113539,2001347,137193751,3193310,3217805,5360980,16002591,35841621,7494429,5351254,3010514,31172406,6203372,7580026,3312246,3328614,5537603,16326134,35089005,7677898,5468909,3123212,28657138,6438175,6161169,6505556,6546419,10898583,32328725,70930626,15172327,10820163,6133726,59829544,12641547,13741195,14.91,33.96,48.87,6.7,14.59,0.79,-0.14,0.65,0.94,0.94,0,-0.14,10.7,8.65,9.7,62.69,1.89
81,2030,Rep�blica Mexicana,0,1049797.504,-189984,859813.5041,935909.4959,32,1279744,333907,73.79,79.61,76.7,67496667,45.87,1279744,143923,0,-189984,70573604,1985707,138070271,3171945,3209010,5347763,15978526,35933283,7475745,5336992,2987377,31484836,6155595,7866469,3290926,3319578,5523907,16308573,35273661,7658561,5454232,3099937,28987204,6388996,6381808,6462871,6528588,10871670,32287099,71206944,15134306,10791224,6087314,60472040,12544591,14248277,15.36,33.49,48.85,6.78,14.38,0.76,-0.14,0.62,0.93,0.93,0,-0.14,10.34,8.35,9.37,62.24,1.88
82,2031,Rep�blica Mexicana,0,1016638,-190739,825898.9995,953652.0005,32.14,1266386,335245,73.95,79.77,76.85,67896115,47.89,1266386,144506,0,-190739,71016854,1970290,138912969,3148442,3196143,5331193,15947865,36009848,7458384,5323334,2964526,31781682,6108226,8159370,3267031,3307405,5507385,16284046,35441702,7640071,5440091,3076845,29305483,6340395,6605806,6415473,6503548,10838578,32231911,71451550,15098455,10763425,6041371,61087165,12448621,14765176,15.82,33.04,48.86,6.87,14.18,0.73,-0.14,0.59,0.91,0.91,0,-0.14,9.98,8.06,9.04,61.84,1.87
83,2032,Rep�blica Mexicana,0,983288.4999,-191522,791766.4999,971749.5001,32.82,1252722,336598,74.1,79.93,77.01,68278436,49.98,1252722,145076,0,-191522,71443189,1955038,139721625,3124106,3178698,5309434,15909795,36069041,7441537,5310801,2941962,32061885,6061290,8459161,3242091,3290857,5486019,16250361,35588594,7622852,5427690,3053864,29612339,6292402,6833403,6366197,6469555,10795453,32160156,71657635,15064389,10738491,5995826,61674224,12353692,15292564,16.3,32.6,48.9,6.95,13.99,0.7,-0.14,0.57,0.9,0.9,0,-0.14,9.63,7.78,8.73,61.48,1.86
84,2033,Rep�blica Mexicana,0,949649.0002,-192281,757368.0002,990222.9998,33,1238852,337855,74.25,80.08,77.16,68643555,52.14,1238852,145574,0,-192281,71852514,1939872,140496069,3100049,3157497,5281359,15862913,36109459,7422733,5298871,2919751,32325176,6014786,8766332,3217297,3270058,5459004,16205990,35711097,7604861,5415915,3030982,29907889,6244987,7064817,6317346,6427555,10740363,32068903,71820556,15027594,10714786,5950733,62233065,12259773,15831149,16.79,32.2,48.99,7.05,13.81,0.68,-0.14,0.54,0.88,0.88,0,-0.14,9.29,7.5,8.42,61.13,1.84
85,2034,Rep�blica Mexicana,0,915673.5001,-192909,722764.5001,1009045.5,33.17,1224900,338912,74.4,80.24,77.32,68991421,54.36,1224900,146003,0,-192909,72244570,1924719,141235991,3076231,3134159,5247839,15806686,36130791,7401036,5287356,2897914,32571768,5968760,9081083,3192654,3246686,5426568,16151045,35807981,7584211,5404329,3008240,30192149,6198114,7299870,6268885,6380845,10674407,31957731,71938772,14985247,10691685,5906154,62763917,12166874,16380953,17.29,31.81,49.11,7.14,13.63,0.65,-0.14,0.51,0.87,0.87,0,-0.14,8.97,7.23,8.12,60.8,1.83
86,2035,Rep�blica Mexicana,0,881331.0004,-193285,688046.0004,1028195,33.84,1210694,339620,74.55,80.39,77.47,69322145,56.65,1210694,146335,0,-193285,72619125,1909526,141941270,3052666,3110001,5210747,15743156,36132990,7375343,5274597,2876409,32799833,5923241,9403060,3168272,3222192,5389809,16088239,35879022,7559697,5392080,2985701,30463124,6151729,7537862,6220938,6332193,10600556,31831395,72012012,14935040,10666677,5862110,63262957,12074970,16940922,17.81,31.45,49.26,7.24,13.45,0.62,-0.14,0.48,0.85,0.85,0,-0.14,8.65,6.97,7.83,60.47,1.82
87,2036,Rep�blica Mexicana,0,846599.9997,-193403,653196.9997,1047658,34,1196386,340012,74.7,80.55,77.62,69635757,58.99,1196386,146609,0,-193403,72975978,1894258,142611735,3029279,3086117,5171691,15674931,36116520,7344093,5258519,2855122,33007594,5878305,9731386,3144235,3197695,5350324,16020509,35924643,7529631,5377002,2963426,30718858,6105748,7777813,6173514,6283812,10522015,31695440,72041163,14873724,10635521,5818548,63726452,11984053,17509199,18.35,31.1,49.45,7.35,13.28,0.59,-0.14,0.46,0.84,0.84,0,-0.14,8.34,6.71,7.54,60.15,1.81
88,2037,Rep�blica Mexicana,0,811460.0002,-193377,618083.0002,1067419,34.18,1181904,340181,74.85,80.7,77.77,69932384,61.39,1181904,146804,0,-193377,73314893,1878879,143247277,3006072,3062474,5132011,15602052,36081750,7306856,5237319,2833933,33196220,5833998,10064761,3120589,3173187,5309618,15948382,35945024,7493357,5356926,2941445,30960518,6060179,8018152,6126661,6235661,10441629,31550434,72026774,14800213,10594245,5775378,64156738,11894177,18082913,18.89,30.78,49.67,7.45,13.12,0.57,-0.13,0.43,0.83,0.83,0,-0.13,8.04,6.47,7.27,59.85,1.8
89,2038,Rep�blica Mexicana,0,775952.0006,-193368,582584.0006,1087415.999,34.84,1167350,340318,74.99,80.85,77.92,70211924,63.82,1167350,146950,0,-193368,73635545,1863368,143847469,2983051,3039071,5092729,15523857,36029331,7263521,5209863,2812751,33368186,5790313,10401217,3097284,3148842,5268977,15871152,35940376,7451103,5330968,2919705,31191395,6015049,8256374,6080335,6187913,10361706,31395009,71969707,14714624,10540831,5732456,64559581,11805362,18657591,19.44,30.47,49.91,7.56,12.95,0.54,-0.13,0.41,0.81,0.81,0,-0.13,7.75,6.23,7,59.56,1.8
90,2039,Rep�blica Mexicana,0,740064.5002,-193372,546692.5002,1107651.5,35,1152522,340425,75.14,81.01,78.07,70474300,66.27,1152522,147053,0,-193372,73937741,1847716,144412041,2960289,3015838,5053768,15441022,35960636,7214955,5177025,2791520,33525275,5747185,10738209,3074256,3124806,5228577,15788734,35911760,7403149,5299378,2898086,31414381,5970384,8489852,6034545,6140644,10282345,31229756,71872396,14618104,10476403,5689606,64939656,11717569,19228061,19.99,30.17,50.16,7.67,12.79,0.51,-0.13,0.38,0.8,0.8,0,-0.13,7.46,6,6.75,59.28,1.79
91,2040,Rep�blica Mexicana,0,703852.5002,-193421,510431.5002,1128074.5,35.16,1137708,340540,75.29,81.15,78.22,70719259,68.73,1137708,147119,0,-193421,74221252,1831927,144940511,2937813,2992783,5015165,15353782,35875902,7163028,5140646,2770153,33669674,5704511,11073239,3051421,3101200,5188701,15701717,35859479,7350850,5263349,2876442,31631268,5926198,8716280,5989234,6093983,10203866,31055499,71735381,14513878,10403995,5646595,65300942,11630709,19789519,20.54,29.88,50.42,7.78,12.64,0.49,-0.13,0.35,0.78,0.78,0,-0.13,7.19,5.77,6.5,59.02,1.78
92,2041,Rep�blica Mexicana,0,667391.0002,-193560,473831.0002,1148627,35.82,1122830,340702,75.43,81.3,78.37,70946620,71.17,1122830,147142,0,-193560,74485949,1816018,145432569,2915618,2969929,4976901,15261662,35775089,7109316,5102344,2748596,33805083,5662151,11403118,3028761,3078067,5149555,15609856,35783975,7296132,5224644,2854585,31844766,5882440,8933300,5944379,6047996,10126456,30871518,71559064,14405448,10326988,5603181,65649849,11544591,20336418,21.07,29.6,50.67,7.9,12.49,0.46,-0.13,0.33,0.77,0.77,0,-0.13,6.93,5.56,6.26,58.78,1.77
93,2042,Rep�blica Mexicana,0,630684.5002,-193741,436943.5002,1169327.5,36,1107896,340870,75.57,81.45,78.51,71156286,73.59,1107896,147129,0,-193741,74731596,1800012,145887882,2893751,2947318,4938987,15164178,35660642,7055075,5063406,2726806,33933879,5619934,11725893,3006268,3055334,5111212,15512756,35688928,7240806,5184928,2832366,32055873,5838999,9140499,5900019,6002652,10050199,30676934,71349570,14295881,10248334,5559172,65989752,11458933,20866392,21.59,29.33,50.92,8.02,12.34,0.43,-0.13,0.3,0.76,0.76,0,-0.13,6.67,5.35,6.03,58.55,1.77
94,2043,Rep�blica Mexicana,0,593834.4999,-193907,399927.4999,1190087.5,36.12,1092906,340982,75.71,81.6,78.65,71348132,76,1092906,147075,0,-193907,74958087,1783922,146306219,2872238,2924979,4901450,15061302,35535637,7001326,5024855,2704796,34055319,5577686,12042365,2983971,3032895,5073571,15410830,35579503,7186216,5145540,2809702,32262094,5795696,9339993,5856209,5957874,9975021,30472132,71115140,14187542,10170395,5514498,66317413,11373382,21382358,22.09,29.07,51.16,8.13,12.19,0.41,-0.13,0.27,0.75,0.75,0,-0.13,6.43,5.15,5.81,58.32,1.76
95,2044,Rep�blica Mexicana,0,556907.0002,-193949,362958.0002,1210876,36.76,1077924,340934,75.85,81.74,78.8,71522220,78.41,1077924,146985,0,-193949,75165328,1767783,146687548,2851047,2902932,4864352,14953868,35402288,6948040,4986620,2682578,34167635,5535267,12353489,2961910,3010674,5036484,15304464,35459919,7132515,5106705,2786606,32460710,5752302,9534256,5812957,5913606,9900836,30258332,70862207,14080555,10093325,5469184,66628345,11287569,21887745,22.59,28.81,51.4,8.25,12.05,0.38,-0.13,0.25,0.73,0.73,0,-0.13,6.19,4.96,5.59,58.11,1.75
96,2045,Rep�blica Mexicana,0,519949.9996,-193787,326162.9996,1231666,37,1062836,340637,75.99,81.88,78.94,71678702,80.84,1062836,146850,0,-193787,75353353,1751616,147032055,2830063,2881220,4827767,14843806,35263732,6895273,4948726,2660138,34268003,5492543,12660408,2940092,2988575,4999715,15194883,35334176,7079751,5068611,2763144,32647952,5708598,9726030,5770155,5869795,9827482,30038689,70597908,13975024,10017337,5423282,66915955,11201141,22386438,23.09,28.56,51.65,8.38,11.91,0.35,-0.13,0.22,0.72,0.72,0,-0.13,5.96,4.77,5.38,57.91,1.75
97,2046,Rep�blica Mexicana,0,483049.4993,-193434,289615.4993,1252401.501,37.02,1047828,340109,76.13,82.02,79.08,71817836,83.31,1047828,146675,0,-193434,75522055,1735451,147339891,2809161,2859842,4791714,14732693,35122784,6843043,4911171,2637495,34353759,5449463,12964211,2918502,2966574,4963117,15083742,35205041,7027823,5031280,2739462,32819503,5664413,9918181,5727663,5826416,9754831,29816435,70327825,13870866,9942451,5376957,67173262,11113876,22882392,23.59,28.32,51.91,8.5,11.78,0.33,-0.13,0.2,0.71,0.71,0,-0.13,5.74,4.59,5.18,57.72,1.74
98,2047,Rep�blica Mexicana,0,446285.9999,-192958,253327.9999,1273029,37.64,1032854,339410,76.27,82.16,79.21,71939792,85.81,1032854,146452,0,-192958,75671501,1719315,147611293,2788265,2838785,4756170,14621787,34979673,6791337,4873952,2614691,34422824,5405975,13265856,2897070,2944683,4926621,14972526,35072757,6976555,4994617,2715706,32971572,5619614,10113178,5685335,5783468,9682791,29594313,70052430,13767892,9868569,5330397,67394396,11025589,23379034,24.1,28.09,52.19,8.62,11.65,0.3,-0.13,0.17,0.7,0.7,0,-0.13,5.53,4.42,4.99,57.54,1.74
99,2048,Rep�blica Mexicana,0,409709.0008,-192437,217272.0008,1293522.999,38,1017914,338625,76.4,82.3,79.35,72044854,88.38,1017914,146188,0,-192437,75801679,1703232,147846533,2767313,2817924,4721046,14512032,34832658,6740219,4837097,2591773,34473797,5362040,13565813,2875695,2922935,4890244,14862340,34936620,6925715,4958406,2691970,33101379,5574185,10312989,5643008,5740859,9611290,29374372,69769278,13665934,9795503,5283743,67575176,10936225,23878802,24.63,27.87,52.5,8.75,11.52,0.28,-0.13,0.15,0.69,0.69,0,-0.13,5.33,4.25,4.8,57.37,1.73
100,2049,Rep�blica Mexicana,0,373398.4991,-191896,181502.4991,1313825.501,38,1003028,337780,76.54,82.44,79.49,72133125,91.01,1003028,145884,0,-191896,75912760,1687224,148045885,2746225,2797162,4686267,14403357,34679584,6689765,4800660,2568770,34506506,5317691,13864459,2854239,2901362,4854055,14753142,34795778,6875111,4922418,2668314,33207897,5528189,10518811,5600464,5698524,9540322,29156499,69475362,13564876,9723078,5237084,67714403,10845880,24383270,25.17,27.66,52.83,8.87,11.4,0.25,-0.13,0.12,0.68,0.68,0,-0.13,5.13,4.09,4.62,57.21,1.73
101,2050,Rep�blica Mexicana,0,337414.4999,-191410,146004.4999,1333912.5,38.46,988192,336953,76.67,82.57,79.62,72204750,93.71,988192,145543,0,-191410,76004844,1671327,148209594,2724939,2776398,4651666,14295694,34519150,6640002,4764734,2545706,34520907,5272945,14161979,2832563,2879959,4818136,14644987,34648793,6824700,4886523,2644719,33290823,5481726,10731118,5557502,5656357,9469802,28940681,69167943,13464702,9651257,5190425,67811730,10754671,24893097,25.73,27.46,53.18,9,11.28,0.23,-0.13,0.1,0.67,0.67,0,-0.13,4.94,3.94,4.45,57.06,1.72
